-95; -80; -80; -57; -97; -38; 994
-41; -84; -36; -18; -4; -39; 147
-96; -100; -62; -91; -3; -55; 355
-56; -89; -70; -76; -54; -54; 917
-74; -47; -87; -100; -32; -79; 980
-50; -87; -78; -19; -85; -27; 940
-88; -96; -99; -12; -46; -89; 711
-98; -70; -28; -88; -2; -44; 96
-35; -29; -97; -50; -66; -87; 1317
-11; -72; -92; -85; -97; -34; 1610
-80; -43; -8; -41; -22; -64; 65
-39; -10; -19; -90; -45; -80; 769
-55; -99; -49; -28; -86; -2; 693
-100; -28; -28; -50; -24; -14; 70
-90; -43; -21; -33; -21; -2; -57
-35; -52; -73; -85; -25; -90; 985
-18; -47; -56; -75; -30; -9; 789
-21; -5; -54; -57; -13; -58; 709
-45; -63; -78; -23; -42; -73; 796
-77; -42; -94; -64; -60; -27; 967
-36; -47; -29; -76; -12; -75; 520
-73; -68; -99; -84; -63; -82; 1207
-49; -46; -97; -14; -4; -55; 588
-88; -64; -34; -56; -51; -20; 361
-12; -38; -72; -28; -13; -10; 635
-64; -18; -50; -88; -88; -60; 1106
-89; -16; -49; -58; -32; -43; 430
-69; -82; -59; -55; -43; -44; 601
-36; -33; -91; -9; -41; -35; 823
-67; -88; -75; -41; -73; -52; 887
-80; -36; -34; -12; -51; -41; 295
-98; -12; -48; -12; -79; -45; 531
-27; -71; -92; -87; -33; -29; 1081
-58; -74; -91; -51; -51; -49; 938
-69; -89; -2; -70; -43; -21; 209
-93; -89; -75; -72; -32; -96; 681
-95; -42; -65; -67; -92; -34; 924
-61; -100; -62; -10; -70; -37; 639
-30; -96; -71; -57; -45; -89; 978
-75; -33; -48; -38; -64; -86; 706
-31; -44; -86; -7; -69; -8; 936
-88; -60; -77; -79; -68; -90; 1017
-42; -24; -46; -24; -21; -75; 487
-13; -62; -35; -16; -72; -92; 876
-14; -6; -19; -4; -95; -42; 828
-58; -33; -60; -85; -62; -67; 1011
-23; -42; -57; -8; -34; -87; 692
-3; -64; -78; -88; -54; -7; 1217
-66; -73; -87; -19; -84; -17; 910
-87; -19; -17; -84; -87; -27; 670
-17; -57; -50; -46; -90; -43; 1114
-68; -56; -21; -32; -28; -16; 113
-6; -56; -47; -73; -31; -67; 892
-69; -5; -87; -25; -100; -90; 1245
-37; -95; -67; -55; -15; -86; 692
-28; -97; -72; -43; -6; -10; 507
-84; -31; -72; -19; -30; -80; 505
-51; -41; -36; -61; -22; -58; 476
-58; -6; -4; -21; -52; -72; 330
-38; -18; -41; -50; -28; -91; 663
-71; -27; -37; -67; -13; -60; 362
-21; -80; -47; -82; -19; -27; 665
-11; -80; -44; -47; -9; -21; 472
-98; -14; -3; -47; -2; -35; -205
-3; -4; -38; -72; -1; -9; 566
-18; -32; -23; -9; -57; -15; 510
-76; -35; -52; -25; -19; -46; 280
-68; -81; -12; -65; -82; -5; 513
-80; -82; -58; -70; -30; -3; 426
-3; -68; -50; -30; -17; -12; 536
-40; -10; -46; -85; -77; -79; 1155
-78; -48; -52; -98; -21; -84; 639
-15; -56; -22; -36; -68; -3; 655
-9; -31; -11; -2; -66; -77; 631
-26; -86; -43; -83; -74; -11; 963
-70; -92; -76; -84; -86; -39; 1112
-82; -40; -40; -96; -94; -12; 902
-14; -45; -20; -64; -39; -8; 576
-73; -26; -61; -86; -32; -59; 728
-98; -43; -36; -44; -58; -21; 349
-98; -89; -73; -59; -7; -98; 419
-44; -25; -53; -45; -89; -15; 965
-2; -72; -14; -37; -26; -75; 502
-15; -10; -68; -38; -78; -69; 1233
-84; -11; -79; -9; -55; -57; 663
-76; -97; -47; -93; -14; -18; 364
-25; -90; -83; -47; -51; -99; 1115
-59; -90; -3; -48; -65; -95; 479
-61; -7; -64; -42; -60; -75; 880
-89; -25; -42; -75; -79; -35; 753
-72; -41; -94; -71; -89; -35; 1240
-34; -67; -44; -62; -71; -22; 866
-4; -20; -24; -96; -10; -2; 592
-11; -100; -92; -33; -80; -98; 1383
-71; -41; -93; -73; -87; -79; 1320
-48; -44; -27; -80; -35; -44; 564
-60; -15; -80; -34; -98; -20; 1113
-69; -41; -11; -17; -78; -1; 313
-27; -3; -93; -75; -60; -8; 1255
-1; -100; -46; -40; -14; -78; 637
